duration;iterationCount;patternLength;textLength
4583;4427;1663;9648
1834;1460;219;2096
4958;4525;1312;4870
583;313;43;1327
9917;6485;1764;6221
750;345;15;406
2167;1529;60;5640
9916;7001;1438;5437
667;528;127;465
1791;1597;351;1382
20041;6072;1490;4596
10458;7261;1597;8291
4125;3889;1177;3247
3084;2547;369;3336
875;680;276;638
5709;4545;1821;4410
541;394;119;389
3791;3061;286;8121
1709;1623;698;6230
2958;2472;459;3093
7250;6741;1878;6286
14166;13079;4565;9440
3500;3524;1432;6396
3792;2557;384;4519
2333;1499;97;3191
3541;3475;1131;3301
10500;8298;1529;8239
4042;3431;630;7834
18666;11742;3830;7908
2958;2683;733;2165
12875;3990;640;5951
15917;4987;135;5842
18083;6915;2201;4556
19625;6222;1413;5958
1292;406;78;2308
10333;8815;3680;9076
36542;8846;1524;8196
1083;488;143;1095
9542;2832;343;3892
156375;6271;2468;6830
23208;8682;2211;8513
6500;2353;756;1657
15042;4760;1517;3530
18291;9286;2525;8315
1625;1010;237;785
5875;4968;2398;5334
2833;2047;67;3697
8000;5586;2225;5454
8666;2737;849;3167
58167;4028;1439;3433
5000;2270;980;2198
3250;3286;1494;3949
7334;1984;182;1813
38709;14510;4803;9710
2875;849;300;1172
6667;5190;2311;8537
12667;11153;4479;9400
32917;11767;3793;8274
4583;1501;576;1436
9459;3157;901;3463
8375;3260;1052;2716
6208;5203;1950;8420
1541;816;66;7348
6709;5631;2692;5790
7750;6710;2918;6465
12083;6712;2517;5217
4042;3097;557;2439
94000;12384;4088;8432
12208;4691;2024;4788
2584;2061;804;5011
11959;10010;2571;8977
12792;11308;3610;9154
791;550;83;1266
3167;2583;601;3692
4000;3802;1311;6314
12458;3033;1040;3772
2167;587;219;1753
11666;3761;1670;6560
7541;6053;2309;6261
8625;7617;2028;6051
1916;1438;324;3678
6667;3572;545;3189
6125;4712;1857;4018
4667;3836;701;3325
24333;5720;2050;8433
2209;401;43;586
18041;6033;866;8794
1417;225;57;304
8333;2964;971;6292
10458;1733;446;1273
28041;9039;1996;9309
11166;3961;974;3250
2667;703;137;692
8000;4711;837;5242
3875;812;71;1278
12292;10222;2878;8484
11666;10706;2535;9513
3625;3298;1260;3955
5833;4084;967;8834
11000;8118;3444;7093
1292;784;333;873
792;614;252;613
9750;9529;2909;6696
500;329;91;405
5959;5310;1017;4578
6542;6749;2475;6996
9375;5419;1484;4419
7458;6306;183;6343
2583;2139;638;1858
6958;5569;1753;7710
13666;4991;2257;4684
9125;3110;927;2385
6625;4151;1840;6007
6792;5143;228;5288
3583;2606;189;3875
1708;1206;130;1171
6292;4634;1540;3445
5792;5263;2301;5771
4208;3850;1430;2952
11333;10084;2234;8737
1958;1530;142;1424
9458;7707;2660;9721
12958;10977;2015;9274
3542;3057;818;2224
5542;4141;30;6382
12083;3629;588;3180
11125;3225;19;3331
18791;7063;2392;6439
6166;2141;786;1839
11250;9586;3275;6838
2875;1447;533;1795
1625;1270;477;1062
11000;10063;3752;7634
6125;4997;1490;4802
2416;1247;83;7372
4167;3900;1715;4490
6166;4475;770;4252
1625;1373;291;9692
9625;8735;3570;8766
6500;5651;1410;4944
4041;3740;1365;3098
5959;5490;1664;4811
4584;4189;1151;4687
8500;7329;2577;5633
3250;2778;352;3959
3375;2848;359;2422
11625;9458;3250;6769
2875;2385;261;4815
1583;1320;329;1202
3958;2838;1389;6781
833;683;247;1130
4333;4438;1557;9265
5708;4682;1832;9741
4833;3446;1038;5236
625;310;120;1109
5625;4094;956;3498
625;416;132;801
4417;3394;1374;3419
19875;12201;4813;9784
3708;3139;1116;3411
1417;851;10;878
5500;5134;1951;4174
3792;3428;1140;3397
21042;6233;2399;6521
8542;7124;806;7597
4833;3361;1166;3628
1083;987;378;986
14250;11685;2461;9028
3834;3600;1176;2685
2375;1942;343;9038
6625;5198;1995;4071
9584;9236;2980;7566
5583;1599;310;3363
10250;6714;857;8079
1875;1609;527;1086
3500;2382;582;5419
4916;3847;86;7609
5458;4913;1336;3912
1958;1778;583;1810
1792;338;55;1391
5583;5378;1584;3919
9125;2655;504;4955
1584;325;88;242
2458;633;60;1162
8958;3288;1026;3371
7583;5999;2287;5123
8208;7296;1566;7100
1542;1294;557;1685
1417;1102;247;908
4458;4000;865;3160
3750;2956;253;3596
15708;5875;2692;9240
13208;9608;2160;7953
10791;9059;3092;7678
1167;896;329;1240
4458;2636;540;5607
13042;3668;103;3683
8875;7855;3614;7345
7250;5408;1615;8944
1917;1425;129;1893
82625;10280;3720;7818
4959;2509;78;4071
18916;6042;1768;5830
9917;8845;2362;9355
3167;2137;62;5235
1416;1065;288;821
14542;11220;3142;9376
2667;2224;133;2823
4458;4469;1701;6527
917;726;246;509
10667;8824;723;8462
14000;12490;3263;9047
8208;7735;2995;6446
18166;6768;2489;7193
9041;6054;1153;6477
6250;4862;2088;4764
2084;1788;649;1416
7416;2349;1114;6281
24625;7932;2547;6759
57250;3024;133;8302
5916;2082;717;1874
7583;5079;998;4715
12333;10477;1762;8884
3041;815;337;4012
6625;5406;2227;7528
5500;3661;32;3568
12500;10804;3483;8491
4542;3981;1135;3259
584;272;110;469
12333;10454;1362;8845
1125;746;231;1055
3125;2047;403;2594
1500;680;194;1474
2250;1173;527;1288
4708;4673;2269;5465
1791;1160;294;1103
19041;5516;1610;4010
1333;127;12;178
3542;2686;815;3051
3583;3036;923;9352
792;365;87;404
10916;10392;3028;7487
5000;4200;383;4819
5125;4454;1033;5488
7917;7200;1056;8253
1292;991;227;934
10375;9953;4618;9639
3667;2664;55;3750
6875;6547;2012;6004
3375;3133;733;2967
4250;3603;528;3160
3417;2111;764;2116
4625;3741;141;7097
3375;2699;281;5006
292;85;38;112
4083;3495;436;6901
5125;4780;1104;4865
8083;2094;35;6203
8292;1646;557;1586
5917;1865;608;1287
3792;1177;333;870
9833;3472;951;4850
13125;11291;3160;9502
1291;732;45;1347
2458;1713;352;3894
4916;4608;1516;4480
1375;1147;340;874
11542;6809;809;6345
541;194;43;287
3375;2976;649;3607
8667;7313;2286;5207
2209;2007;707;2690
